"astro-ph/0511774","Max Tegmark","Max Tegmark (MIT), Anthony Aguirre (UCSC), Martin J Rees (Cambridge),
  Frank Wilczek (MIT)","Dimensionless constants, cosmology and other dark matters","29 pages, 13 figs, minor mods to match published PRD version","Phys.Rev.D73:023505,2006","10.1103/PhysRevD.73.023505",,"astro-ph hep-ph hep-th",,"  We identify 31 dimensionless physical constants required by particle physics
and cosmology, and emphasize that both microphysical constraints and selection
effects might help elucidate their origin. Axion cosmology provides an
instructive example, in which these two kinds of arguments must both be taken
into account, and work well together. If a Peccei-Quinn phase transition
occurred before or during inflation, then the axion dark matter density will
vary from place to place with a probability distribution. By calculating the
net dark matter halo formation rate as a function of all four relevant
cosmological parameters and assessing other constraints, we find that this
probability distribution, computed at stable solar systems, is arguably peaked
near the observed dark matter density. If cosmologically relevant WIMP dark
matter is discovered, then one naturally expects comparable densities of WIMPs
and axions, making it important to follow up with precision measurements to
determine whether WIMPs account for all of the dark matter or merely part of
it.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:30:04 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 2005 15:30:08 GMT""},{""version"":""v3"",""created"":""Wed, 11 Jan 2006 21:29:45 GMT""}]","2008-11-26"
"quant-ph/0511260","Andreas Winter","Ben Ibinson, Noah Linden, Andreas Winter","All Inequalities for the Relative Entropy","15 pages, 3 embedded eps figures","Commun. Math. Phys. 269(1):223-238, 2007","10.1007/s00220-006-0081-6",,"quant-ph",,"  The relative entropy of two n-party quantum states is an important quantity
exhibiting, for example, the extent to which the two states are different. The
relative entropy of the states formed by reducing two n-party to a smaller
number $m$ of parties is always less than or equal to the relative entropy of
the two original n-party states. This is the monotonicity of relative entropy.
  Using techniques from convex geometry, we prove that monotonicity under
restrictions is the only general inequality satisfied by relative entropies. In
doing so we make a connection to secret sharing schemes with general access
structures.
  A suprising outcome is that the structure of allowed relative entropy values
of subsets of multiparty states is much simpler than the structure of allowed
entropy values. And the structure of allowed relative entropy values (unlike
that of entropies) is the same for classical probability distributions and
quantum states.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:05:15 GMT""}]","2017-08-02"
"quant-ph/0511261","Demetrios Kalamidas","Demetrios Kalamidas","Possibly novel demonstration of nonlocality for two maximally entangled
  particles","Substantial revisions made to text. Implications for the revised
  argument are presented",,,,"quant-ph",,"  We present, at the gedanken level, a possibly novel non-statistical
demonstration of nonlocality for two maximally entangled particles. The
argument requires only two alternative experimental contexts, only one and the
same single-particle observable, and leads to a contradiction with a
constrained form of local realism in 50% of experimental runs. However, the
argument is based on a 'plausible' but not definitive notion of locality.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 18:02:03 GMT""},{""version"":""v2"",""created"":""Tue, 13 Dec 2005 18:21:35 GMT""}]","2007-05-23"
"quant-ph/0511262","Daniel Braun","Daniel Braun","Decoherence in a system of many two--level atoms","replaced with published version","Phys. Rev. Lett. 96, 230502 (2006)","10.1103/PhysRevLett.96.230502",,"quant-ph",,"  I show that the decoherence in a system of $N$ degenerate two--level atoms
interacting with a bosonic heat bath is for any number of atoms $N$ governed by
a generalized Hamming distance (called ``decoherence metric'') between the
superposed quantum states, with a time--dependent metric tensor that is
specific for the heat bath.The decoherence metric allows for the complete
characterization of the decoherence of all possible superpositions of
many-particle states, and can be applied to minimize the over-all decoherence
in a quantum memory. For qubits which are far apart, the decoherence is given
by a function describing single-qubit decoherence times the standard Hamming
distance. I apply the theory to cold atoms in an optical lattice interacting
with black body radiation.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 20:12:42 GMT""},{""version"":""v2"",""created"":""Tue, 19 Sep 2006 09:06:09 GMT""}]","2009-11-11"
"quant-ph/0511263","Katalin Hangos","Th. Baier, K.M. Hangos, A. Magyar and D. Petz","Comparison of some methods of quantum state estimation","13 pages, 19 figures, to be published in the proceedings of the ""26th
  Conference: QP and IDA"" - Levico (Trento), February, 2005",,,,"quant-ph",,"  In the paper the Bayesian and the least squares methods of quantum state
tomography are compared for a single qubit. The quality of the estimates are
compared by computer simulation when the true state is either mixed or pure.
The fidelity and the Hilbert-Schmidt distance are used to quantify the error.
  It was found that in the regime of low measurement number the Bayesian method
outperforms the least squares estimation. Both methods are quite sensitive to
the degree of mixedness of the state to be estimated, that is, their
performance can be quite bad near pure states.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 20:03:19 GMT""}]","2007-05-23"
"quant-ph/0511264","Christian Hicke","C. Hicke, L. F. Santos, and M. I. Dykman","Fault-Tolerant Landau-Zener Quantum Gates","7 pages, 4 figures",,"10.1103/PhysRevA.73.012342",,"quant-ph cond-mat.mes-hall",,"  We present a method to perform fault-tolerant single-qubit gate operations
using Landau-Zener tunneling. In a single Landau-Zener pulse, the qubit
transition frequency is varied in time so that it passes through the frequency
of the radiation field. We show that a simple three-pulse sequence allows
eliminating errors in the gate up to the third order in errors in the qubit
energies or the radiation frequency.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 21:19:35 GMT""}]","2009-11-11"
"quant-ph/0511265","Adan Cabello","Fabio A. Bovino, Giuseppe Castagnoli, Adan Cabello, Antia
  Lamas-Linares","Experimental noise-resistant Bell-inequality violations for
  polarization-entangled photons","REVTeX4, 5 pages, 4 figures","Phys. Rev. A 73 (2006) 062110","10.1103/PhysRevA.73.062110",,"quant-ph",,"  We experimentally demonstrate that violations of Bell's inequalities for
two-photon polarization-entangled states with colored noise are extremely
robust, whereas this is not the case for states with white noise. Controlling
the amount of noise by using the timing compensation scheme introduced by Kim
et al. [Phys. Rev. A 67, 010301(R) (2003)], we have observed violations even
for states with very high noise, in excellent agrement with the predictions of
Cabello et al. [Phys. Rev. A 72, 052112 (2005)].
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 00:33:52 GMT""},{""version"":""v2"",""created"":""Sat, 24 Jun 2006 00:08:16 GMT""}]","2009-07-28"
"quant-ph/0511266","Elham Kashefi","Elham Kashefi and Iordanis Kerenidis","Statistical Zero Knowledge and quantum one-way functions","20 pages; Computational Complexity, Cryptography and Quantum Physics;
  Published version, main results unchanged, presentation improved","Journal of Theoretical Computer Sience, March 2007",,,"quant-ph",,"  One-way functions are a very important notion in the field of classical
cryptography. Most examples of such functions, including factoring, discrete
log or the RSA function, can be, however, inverted with the help of a quantum
computer. In this paper, we study one-way functions that are hard to invert
even by a quantum adversary and describe a set of problems which are good such
candidates. These problems include Graph Non-Isomorphism, approximate Closest
Lattice Vector and Group Non-Membership. More generally, we show that any hard
instance of Circuit Quantum Sampling gives rise to a quantum one-way function.
By the work of Aharonov and Ta-Shma, this implies that any language in
Statistical Zero Knowledge which is hard-on-average for quantum computers,
leads to a quantum one-way function. Moreover, extending the result of
Impagliazzo and Luby to the quantum setting, we prove that quantum
distributionally one-way functions are equivalent to quantum one-way functions.
Last, we explore the connections between quantum one-way functions and the
complexity class QMA and show that, similarly to the classical case, if any of
the above candidate problems is QMA-complete then the existence of quantum
one-way functions leads to the separation of QMA and AvgBQP.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 02:47:16 GMT""},{""version"":""v2"",""created"":""Tue, 6 Mar 2007 19:24:04 GMT""}]","2007-05-23"
"quant-ph/0511267","Masahito Hayashi","Masahito Hayashi","Optimal Visible Compression Rate For Mixed States Is Determined By
  Entanglement Of Purification","5 pages","Physical Review A, Vol. 73, 060301(R) (2006)","10.1103/PhysRevA.73.060301",,"quant-ph",,"  Entanglement of purification was introduced by Terhal et al. for
characterizing the bound of the generation of correlated states from maximally
entangled states with sublinear size of classical communication. On the other
hand, M. Horodecki obtained the optimal compression rate with a mixed states
ensemble in the visible setting. In this paper, we prove that the optimal
visible compression rate for mixed states is equal to the limit of the
regularized entanglement of purification of the state corresponding to the
given ensemble. This result gives a new interpretation to the entanglement of
purification.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 05:36:02 GMT""},{""version"":""v2"",""created"":""Fri, 10 Feb 2006 10:01:46 GMT""}]","2009-11-11"
"quant-ph/0511268","Peter Rohde","Peter P. Rohde, Timothy C. Ralph, William J. Munro","Practical limitations in optical entanglement purification","4 pages, 4 figures","Phys. Rev. A 73, 030301(R) (2006)","10.1103/PhysRevA.73.030301",,"quant-ph",,"  Entanglement purification protocols play an important role in the
distribution of entangled systems, which is necessary for various quantum
information processing applications. We consider the effects of photo-detector
efficiency and bandwidth, channel loss and mode-mismatch on the operation of an
optical entanglement purification protocol. We derive necessary detector and
mode-matching requirements to facilitate practical operation of such a scheme,
without having to resort to destructive coincidence type demonstrations.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 07:01:15 GMT""}]","2007-05-23"
"quant-ph/0511269","Xiaoyu Chen","Xiao-yu Chen","Distortion operator and Entanglement Information Rate Distortion of
  Quantum Gaussian Source","6 page, 1 figure",,,,"quant-ph",,"  Quantum random variable, distortion operator are introduced based on
canonical operators. As the lower bound of rate distortion, the entanglement
information rate distortion is achieved by Gaussian map for Gaussian source.
General Gaussian maps are further reduced to unitary transformations and
additive noises from the physical meaning of distortion. The entanglement
information rate distortion function then are calculated for one mode Gaussian
source. The rate distortion is accessible at zero distortion point. For pure
state, the rate distortion function is always zero. In contrast to the
distortion defined via fidelity, our definition of the distortion makes it
possible to calculate the entanglement information rate distortion function for
Gaussian source.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 07:08:31 GMT""}]","2007-05-23"
"quant-ph/0511270","Wang Zhi Yong","Zhi-Yong Wang, Cai-Dong Xiong, Ole Keller","Photon Position Operator and Localization of Photons inside a Waveguide","22 pages, 1 figure",,,,"quant-ph",,"  In this article, we show that in the level of quantum mechanics, a photon
position operator with commuting components can be obtained in a more natural
way; in the level of quantum field theory, the photon position operator
corresponds to the center of the photon number. It is most interesting for us
to show that, a photon inside a waveguide can be localized in the same sense
that a massive particle can be localized in free space, and just as that it is
impossible to localize a massive particle with a greater precision than its
Compton wavelength, one can also arrival at a similar conclusion: it is
impossible to localize a photon inside a waveguide with a greater precision
than its equivalent Compton wavelength, which owing to evanescent-wave or
photon-tunneling phenomena.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 12:11:12 GMT""}]","2007-05-23"
"quant-ph/0511271","Dominik Janzing","Dominik Janzing","Quantum thermodynamics with missing reference frames: Decompositions of
  free energy into non-increasing components","17 pages, latex, 1 figure",,"10.1007/s10955-006-9220-x",,"quant-ph",,"  If an absolute reference frame with respect to time, position, or orientation
is missing one can only implement quantum operations which are covariant with
respect to the corresponding unitary symmetry group G. Extending observations
of Vaccaro et al., I argue that the free energy of a quantum system with
G-invariant Hamiltonian then splits up into the Holevo information of the orbit
of the state under the action of G and the free energy of its orbit average.
These two kinds of free energy cannot be converted into each other. The first
component is subadditive and the second superadditive; in the limit of
infinitely many copies only the usual free energy matters.
  Refined splittings of free energy into more than two independent
(non-increasing) terms can be defined by averaging over probability measures on
G that differ from the Haar measure.
  Even in the presence of a reference frame, these results provide lower bounds
on the amount of free energy that is lost after applying a covariant channel.
If the channel properly decreases one of these quantities, it decreases the
free energy necessarily at least by the same amount, since it is unable to
convert the different forms of free energies into each other.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 13:39:57 GMT""}]","2009-11-11"
