"astro-ph/0511410","Kris Sigurdson","Nicole F. Bell (Caltech), Elena Pierpaoli (Caltech), and Kris
  Sigurdson (Caltech and IAS)","Cosmological Signatures of Interacting Neutrinos","17 pages, 14 figures, minor changes and references added, published
  in Phys. Rev. D","Phys.Rev. D73 (2006) 063523","10.1103/PhysRevD.73.063523","KRL-MAP-309","astro-ph hep-ph",,"  We investigate signatures of neutrino scattering in the Cosmic Microwave
Background (CMB) and matter power spectra, and the extent to which present
cosmological data can distinguish between a free streaming or tightly coupled
fluid of neutrinos. If neutrinos have strong non-standard interactions, for
example, through the coupling of neutrinos to a light boson, they may be kept
in equilibrium until late times. We show how the power spectra for these models
differ from more conventional neutrino scenarios, and use CMB and large scale
structure data to constrain these models. CMB polarization data improves the
constraints on the number of massless neutrinos, while the Lyman--$\alpha$
power spectrum improves the limits on the neutrino mass. Neutrino mass limits
depend strongly on whether some or all of the neutrino species interact and
annihilate. The present data can accommodate a number of tightly-coupled
relativistic degrees of freedom, and none of the interacting-neutrino scenarios
considered are ruled out by current data -- although considerations regarding
the age of the Universe disfavor a model with three annihilating neutrinos with
very large neutrino masses.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:32:21 GMT""},{""version"":""v2"",""created"":""Sat, 1 Apr 2006 01:01:51 GMT""}]","2007-05-23"
"q-bio/0511028","Guillermo Abramson","G. Abramson, L. Giuggioli, V. M. Kenkre, J. W. Dragoo, R. R.
  Parmenter, C. A. Parmenter, T. L. Yates","Diffusion and Home Range Parameters for Rodents: Peromyscus maniculatus
  in New Mexico","The published paper in Ecol. Complexity has an old version of Figure
  6. Here we have put the correct version of Figure 6","Ecological Complexity 3 (2006) 64-70","10.1016/j.ecocom.2005.07.001",,"q-bio.PE",,"  We analyze data from a long term field project in New Mexico, consisting of
repeated sessions of mark-recaptures of Peromyscus maniculatus (Rodentia:
Muridae), the host and reservoir of Sin Nombre Virus (Bunyaviridae:
Hantavirus). The displacements of the recaptured animals provide a means to
study their movement from a statistical point of view. We extract two
parameters from the data with the help of a simple model: the diffusion
constant of the rodents, and the size of their home range. The short time
behavior shows the motion to be approximately diffusive and the diffusion
constant to be 470+/-50m^2/day. The long time behavior provides an estimation
of the diameter of the rodent home ranges, with an average value of 100+/-25m.
As in previous investigations directed at Zygodontomys brevicauda observations
in Panama, we use a box model for home range estimation. We also use a harmonic
model in the present investigation to study the sensitivity of the conclusions
to the model used and find that both models lead to similar estimates.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 12:28:38 GMT""},{""version"":""v2"",""created"":""Thu, 9 Mar 2006 17:47:13 GMT""}]","2007-05-23"
"q-bio/0511029","Reka Albert","Anshuman Gupta, Costas D. Maranas, Reka Albert","Elucidation of Directionality for Co-Expressed Genes: Predicting
  Intra-Operon Termination Sites","7 pages, 8 figures, accepted in Bioinformatics","Bioinformatics 22(2):209-214 (2006)","10.1093/bioinformatics/bti780",,"q-bio.MN q-bio.GN",,"  We present a novel framework for inferring regulatory and sequence-level
information from gene co-expression networks. The key idea of our methodology
is the systematic integration of network inference and network topological
analysis approaches for uncovering biological insights. We determine the gene
co-expression network of Bacillus subtilis using Affymetrix GeneChip time
series data and show how the inferred network topology can be linked to
sequence-level information hard-wired in the organism's genome. We propose a
systematic way for determining the correlation threshold at which two genes are
assessed to be co-expressed by using the clustering coefficient and we expand
the scope of the gene co-expression network by proposing the slope ratio metric
as a means for incorporating directionality on the edges. We show through
specific examples for B. subtilis that by incorporating expression level
information in addition to the temporal expression patterns, we can uncover
sequence-level biological insights. In particular, we are able to identify a
number of cases where (i) the co-expressed genes are part of a single
transcriptional unit or operon and (ii) the inferred directionality arises due
to the presence of intra-operon transcription termination sites.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:07:11 GMT""}]","2007-09-12"
"q-bio/0511030","Radhakrishnan Nagarajan","Radhakrishnan Nagarajan, Meenakshi Upreti","Correlation Statistics for cDNA Microarray Image Analysis","25 Pages, 8 Figures",,,,"q-bio.GN q-bio.QM",,"  In this report, correlation of the pixels comprising a microarray spot is
investigated. Subsequently, correlation statistics namely: Pearson correlation
and Spearman rank correlation are used to segment the foreground and background
intensity of microarray spots. The performance of correlation-based
segmentation is compared to clustering-based (PAM, k-means) and seeded-region
growing techniques (SPOT). It is shown that correlation-based segmentation is
useful in flagging poorly hybridized spots, thus minimizes false-positives. The
present study also raises the intriguing question of whether a change in
correlation can be an indicator of differential gene expression.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:25:33 GMT""}]","2007-05-23"
"quant-ph/0511144","Th. M. Nieuwenhuizen","Th. M. Nieuwenhuizen","Classical Phase Space Density for the Relativistic Hydrogen Atom","15pages AIP tex with 1 Figure",,"10.1063/1.2158722","ITFA-2005-29","quant-ph",,"  Quantum mechanics is considered to arise from an underlying classical
structure (``hidden variable theory'', ``sub-quantum mechanics''), where
quantum fluctuations follow from a physical noise mechanism. The stability of
the hydrogen ground state can then arise from a balance between Lorentz damping
and energy absorption from the noise. Since the damping is weak, the ground
state phase space density should predominantly be a function of the conserved
quantities, energy and angular momentum.
  A candidate for this phase space density is constructed for ground state of
the relativistic hydrogen problem of a spinless particle. The first excited
states and their spherical harmonics are also considered in this framework. The
analytic expression of the ground state energy can be reproduced, provided
averages of certain products are replaced by products of averages. This
analysis puts forward that quantum mechanics may arise from an underlying
classical level as a slow variable theory, where each new quantum operator
relates to a new, well separated time interval.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 17:24:16 GMT""}]","2009-11-11"
"quant-ph/0511145","Wolfgang Mauerer","Wolfgang Mauerer","Semantics and simulation of communication in quantum programming","Master's thesis, 101 pages",,,,"quant-ph cs.PL",,"  We present the quantum programming language cQPL which is an extended version
of QPL [P. Selinger, Math. Struct. in Comp. Sci. 14(4):527-586, 2004]. It is
capable of quantum communication and it can be used to formulate all possible
quantum algorithms. Additionally, it possesses a denotational semantics based
on a partial order of superoperators and uses fixed points on a generalised
Hilbert space to formalise (in addition to all standard features expected from
a quantum programming language) the exchange of classical and quantum data
between an arbitrary number of participants. Additionally, we present the
implementation of a cQPL compiler which generates code for a quantum simulator.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 18:05:35 GMT""}]","2007-05-23"
"quant-ph/0511146","Rachele Fermani","R. Fermani, S. Scheel and P. L. Knight","Spatial decoherence near metallic surfaces","9 pages, 2 figures","Phys. Rev. A 73, 032902 (2006) (9 pages)","10.1103/PhysRevA.73.032902",,"quant-ph",,"  We present a first-principles derivation of spatial atomic-sublevel
decoherence near dielectric and metallic surfaces. The theory is based on the
electromagnetic-field quantization in absorbing dielectric media. We derive an
expression for the time-variation of the off-diagonal matrix element of the
atomic density matrix for arbitrarily shaped substrates. For planar
multilayered substrates we find that for small lateral separations of the
atom's possible positions the spatial coherence decreases quadratically with
the separation and inversely to the squared atom-surface distance.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:25:11 GMT""},{""version"":""v2"",""created"":""Thu, 9 Mar 2006 14:38:05 GMT""}]","2007-05-23"
"quant-ph/0511147","Simone Severini","Simone Severini","Two-colorable graph states with maximal Schmidt measure","6 pages, 1 figure","Physics Letters A, Volume 356, Issue 2, 31 July 2006, Pages 99-103","10.1016/j.physleta.2006.03.026",,"quant-ph",,"  The Schmidt measure was introduced by Eisert and Briegel for quantifying the
degree of entanglement of multipartite quantum systems [Phys. Rev. A 64, 022306
(2001)]. Although generally intractable, it turns out that there is a bound on
the Schmidt measure for two-colorable graph states [Phys. Rev. A 69, 062311
(2004)]. For these states, the Schmidt measure is in fact directly related to
the number of nonzero eigenvalues of the adjacency matrix of the associated
graph. We remark that almost all two-colorable graph states have maximal
Schmidt measure and we construct specific examples. These involve perfect
trees, line graphs of trees, cographs, graphs from anti-Hadamard matrices, and
unyciclic graphs. We consider some graph transformations, with the idea of
transforming a two-colorable graph state with maximal Schmidt measure into
another one with the same property. In particular, we consider a transformation
introduced by Francois Jaeger, line graphs, and switching. By making appeal to
a result of Ehrenfeucht et al. [Discrete Math. 278 (2004)], we point out that
local complementation and switching form a transitive group acting on the set
of all graph states of a given dimension.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 20:15:21 GMT""}]","2007-05-23"
"quant-ph/0511148","Pranab Sen","Sean Hallgren, Martin Roetteler, and Pranab Sen","Limitations of Quantum Coset States for Graph Isomorphism","25 pages","J. ACM 57(6): 34 (2010)",,,"quant-ph",,"  It has been known for some time that graph isomorphism reduces to the hidden
subgroup problem (HSP). What is more, most exponential speedups in quantum
computation are obtained by solving instances of the HSP. A common feature of
the resulting algorithms is the use of quantum coset states, which encode the
hidden subgroup. An open question has been how hard it is to use these states
to solve graph isomorphism. It was recently shown by Moore, Russell, and
Schulman that only an exponentially small amount of information is available
from one, or a pair of coset states. A potential source of power to exploit are
entangled quantum measurements that act jointly on many states at once. We show
that entangled quantum measurements on at least \Omega(n log n) coset states
are necessary to get useful information for the case of graph isomorphism,
matching an information theoretic upper bound. This may be viewed as a negative
result because highly entangled measurements seem hard to implement in general.
Our main theorem is very general and also rules out using joint measurements on
few coset states for some other groups, such as GL(n, F_{p^m}) and G^n where G
is finite and satisfies a suitable property.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:08:35 GMT""}]","2013-12-05"
"quant-ph/0511149","Cristopher Moore","Cristopher Moore and Alexander Russell","Tight Results on Multiregister Fourier Sampling: Quantum Measurements
  for Graph Isomorphism Require Entanglement","supersedes earlier posting quant-ph/0510233, which was withdrawn",,,,"quant-ph",,"  We establish a general method for proving bounds on the information that can
be extracted via arbitrary entangled measurements on tensor products of hidden
subgroup coset states. When applied to the symmetric group, the method yields
an Omega(n log n) lower bound on the number of coset states over which we must
perform an entangled measurement in order to obtain non-negligible information
about a hidden involution. These results are tight to within a multiplicative
constant and apply, in particular, to the case relevant for the Graph
Isomorphism problem.
  Part of our proof was obtained after learning from Hallgren, Roetteler, and
Sen that they had obtained similar results.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:51:24 GMT""}]","2007-05-23"
"quant-ph/0511150","Heng Fan","Heng Fan, Vladimir Korepin, and Vwani Roychowdhury","Valence-Bond-Solid state entanglement in a 2-D Cayley tree","5 pages, 4 figures",,,,"quant-ph",,"  The Valence-Bond-Solid (VBS) states are in general ground states for certain
gapped models. We consider the entanglement of VBS states on a two-dimensional
Cayley tree. We show that the entropy of the reduced density operator does not
depend on the whole size of the Cayley tree. We also show that asymptotically,
the entropy is liearly proportional to the number of singlet states cut by the
reduced density operator of the VBS state.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 23:35:17 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 2005 19:45:38 GMT""}]","2007-05-23"
"quant-ph/0511151","Shao-Ming Fei","Shao-Ming Fei","On Integrability and Pseudo-Hermitian Systems with Spin-Coupling Point
  Interactions","7 pages","Czech J. Phys. 55 (2005) 1085","10.1007/s10582-005-0111-1",,"quant-ph",,"  We study the pseudo-Hermitian systems with general spin-coupling point
interactions and give a systematic description of the corresponding boundary
conditions for PT-symmetric systems. The corresponding integrability for both
bosonic and fermionic many-body systems with PT-symmetric contact interactions
is investigated.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 14:40:46 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 2005 22:22:25 GMT""}]","2009-11-11"
"quant-ph/0511152","Jiangfeng Du","Ye Li, Gan Qin, Jiangfeng Du","The Application of Asymmetric Entangled States in Quantum Game","6 pages, 5 figures",,"10.1016/j.physleta.2006.03.011",,"quant-ph",,"  In the present letter, we propose a more general entangling operator to the
quantization of Cournot economic model, in which players can access to a
continuous set of strategies. By analyzing the relation between the von Neumann
entropy of the entangled state and the total profit of two players precisely,
we find that the total profit at the Nash equilibrium always achieves its
maximal value as long as the entropy tends to infinity. Moreover, since the
asymmetry is introduced in the entangled state, the quantum model shows some
kind of ""encouraging"" and ""suppressing"" effect in profit functions of different
players.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 14:20:02 GMT""}]","2009-11-11"
